PMT,above,below,right,left,diag_left,diag_right
0,4.0,1.0,2.0,5.0,6.0,3.0
1,0.0,7.0,8.0,6.0,18.0,2.0
2,3.0,8.0,9.0,0.0,1.0,10.0
3,12.0,2.0,10.0,4.0,0.0,11.0
4,13.0,0.0,3.0,14.0,5.0,12.0
5,14.0,6.0,0.0,15.0,16.0,4.0
6,5.0,18.0,1.0,16.0,17.0,0.0
7,1.0,19.0,20.0,18.0,36.0,8.0
8,2.0,20.0,21.0,1.0,7.0,9.0
9,10.0,21.0,22.0,2.0,8.0,23.0
10,11.0,9.0,23.0,3.0,2.0,24.0
11,26.0,10.0,24.0,12.0,3.0,25.0
12,27.0,3.0,11.0,13.0,4.0,26.0
13,28.0,4.0,12.0,29.0,14.0,27.0
14,29.0,5.0,4.0,30.0,15.0,13.0
15,30.0,16.0,5.0,31.0,32.0,14.0
16,15.0,17.0,6.0,32.0,33.0,5.0
17,16.0,35.0,18.0,33.0,34.0,6.0
18,6.0,36.0,7.0,17.0,35.0,1.0
19,7.0,37.0,38.0,36.0,60.0,20.0
20,8.0,38.0,39.0,7.0,19.0,21.0
21,9.0,39.0,40.0,8.0,20.0,22.0
22,23.0,40.0,41.0,9.0,21.0,42.0
23,24.0,22.0,42.0,10.0,9.0,43.0
24,25.0,23.0,43.0,11.0,10.0,44.0
25,46.0,24.0,44.0,26.0,11.0,45.0
26,47.0,11.0,25.0,27.0,12.0,46.0
27,48.0,12.0,26.0,28.0,13.0,47.0
28,49.0,13.0,27.0,50.0,29.0,48.0
29,50.0,14.0,13.0,51.0,30.0,28.0
30,51.0,15.0,14.0,52.0,31.0,29.0
31,52.0,32.0,15.0,53.0,54.0,30.0
32,31.0,33.0,16.0,54.0,55.0,15.0
33,32.0,34.0,17.0,55.0,56.0,16.0
34,33.0,58.0,35.0,56.0,57.0,17.0
35,17.0,59.0,36.0,34.0,58.0,18.0
36,18.0,60.0,19.0,35.0,59.0,7.0
37,19.0,61.0,62.0,60.0,90.0,38.0
38,20.0,62.0,63.0,19.0,37.0,39.0
39,21.0,63.0,64.0,20.0,38.0,40.0
40,22.0,64.0,65.0,21.0,39.0,41.0
41,42.0,65.0,66.0,22.0,40.0,67.0
42,43.0,41.0,67.0,23.0,22.0,68.0
43,44.0,42.0,68.0,24.0,23.0,69.0
44,45.0,43.0,69.0,25.0,24.0,70.0
45,72.0,44.0,70.0,46.0,25.0,71.0
46,73.0,25.0,45.0,47.0,26.0,72.0
47,74.0,26.0,46.0,48.0,27.0,73.0
48,75.0,27.0,47.0,49.0,28.0,74.0
49,76.0,28.0,48.0,77.0,50.0,75.0
50,77.0,29.0,28.0,78.0,51.0,49.0
51,78.0,30.0,29.0,79.0,52.0,50.0
52,79.0,31.0,30.0,80.0,53.0,51.0
53,80.0,54.0,31.0,81.0,82.0,52.0
54,53.0,55.0,32.0,82.0,83.0,31.0
55,54.0,56.0,33.0,83.0,84.0,32.0
56,55.0,57.0,34.0,84.0,85.0,33.0
57,56.0,87.0,58.0,85.0,86.0,34.0
58,34.0,88.0,59.0,57.0,87.0,35.0
59,35.0,89.0,60.0,58.0,88.0,36.0
60,36.0,90.0,37.0,59.0,89.0,19.0
61,37.0,,,90.0,,62.0
62,38.0,,91.0,37.0,61.0,63.0
63,39.0,91.0,92.0,38.0,62.0,64.0
64,40.0,92.0,93.0,39.0,63.0,65.0
65,41.0,93.0,,40.0,64.0,66.0
66,67.0,,,41.0,65.0,
67,68.0,66.0,,42.0,41.0,94.0
68,69.0,67.0,94.0,43.0,42.0,95.0
69,70.0,68.0,95.0,44.0,43.0,96.0
70,71.0,69.0,96.0,45.0,44.0,
71,,70.0,,72.0,45.0,
72,97.0,45.0,71.0,73.0,46.0,
73,98.0,46.0,72.0,74.0,47.0,97.0
74,99.0,47.0,73.0,75.0,48.0,98.0
75,,48.0,74.0,76.0,49.0,99.0
76,,49.0,75.0,,77.0,
77,,50.0,49.0,100.0,78.0,76.0
78,100.0,51.0,50.0,101.0,79.0,77.0
79,101.0,52.0,51.0,102.0,80.0,78.0
80,102.0,53.0,52.0,,81.0,79.0
81,,82.0,53.0,,,80.0
82,81.0,83.0,54.0,,103.0,53.0
83,82.0,84.0,55.0,103.0,104.0,54.0
84,83.0,85.0,56.0,104.0,105.0,55.0
85,84.0,86.0,57.0,105.0,,56.0
86,85.0,,87.0,,,57.0
87,57.0,106.0,88.0,86.0,,58.0
88,58.0,107.0,89.0,87.0,106.0,59.0
89,59.0,108.0,90.0,88.0,107.0,60.0
90,60.0,,61.0,89.0,108.0,37.0
91,63.0,,,62.0,,92.0
92,64.0,,,63.0,91.0,93.0
93,65.0,,,64.0,92.0,
94,95.0,,,68.0,67.0,
95,96.0,94.0,,69.0,68.0,
96,,95.0,,70.0,69.0,
97,,72.0,,98.0,73.0,
98,,73.0,97.0,99.0,74.0,
99,,74.0,98.0,,75.0,
100,,78.0,77.0,,101.0,
101,,79.0,78.0,,102.0,100.0
102,,80.0,79.0,,,101.0
103,,104.0,83.0,,,82.0
104,103.0,105.0,84.0,,,83.0
105,104.0,,85.0,,,84.0
106,87.0,,107.0,,,88.0
107,88.0,,108.0,106.0,,89.0
108,89.0,,,107.0,,90.0
